EventID,NTSB_Number,EventType,EventDate,EventDateTime,EventTime,EventTimezone,EventState,EventSiteZipCode,Latitude,Longitude,LatitudeDecimal,LongitudeDecimal
20120523X63856,CEN12FA312,ACC,2012-05-23,2012-05-23 15:49:00.000,15:49,UTC,AR,72465,355825N,0904636W,35.973609,-90.776664
20120413X01034,WPR12CA163,ACC,2012-04-10,2012-04-10 14:30:00.000,14:30,UTC,AZ,86336,345054N,1114718W,34.848331,-111.78833
20120325X10800,CEN12FA199,ACC,2012-03-23,2012-03-23 17:43:00.000,17:43,UTC,CO,80504,040913N,0105319W,40.15361,-105.055274
20111129X40802,ERA12WA089,ACC,2011-11-21,2011-11-21 13:20:00.000,13:20,UTC,NULL,NULL,343858S,0059272W,-34.649444,-59.450553
20111025X10819,WPR12FA020,ACC,2011-10-25,2011-10-25 23:10:00.000,23:10,UTC,OR,97137,451744N,1225719W,45.295555,-122.955276
20111012X23408,WPR12CA005,ACC,2011-10-11,2011-10-11 18:15:00.000,18:15,UTC,CA,93637,365924N,1195736W,36.990001,-119.959999
20110904X00636,ANC11FA091,ACC,2011-09-02,2011-09-02 21:35:00.000,21:35,UTC,AK,99690,603620N,1643555W,60.605556,-164.598617
20110820X50228,ERA11FA468,ACC,2011-08-20,2011-08-20 17:15:00.000,17:15,UTC,NJ,8037,393933N,0074458W,39.659168,-74.75222
20110815X33908,CEN11LA573,ACC,2011-08-13,2011-08-13 16:30:00.000,16:30,UTC,TX,77316,030549N,0953454W,30.9025,-95.581665
20110731X10847,ANC11FA071,ACC,2011-07-30,2011-07-30 22:15:00.000,22:15,UTC,AK,99676,621054N,1503024W,62.181667,-150.506668
20110711X41528,ANC11FA062,ACC,2011-07-10,2011-07-10 21:15:00.000,21:15,UTC,AK,99653,603328N,1531821W,60.557777,-153.305831
20110707X92201,CEN11WA458,ACC,2011-07-04,2011-07-04 15:28:00.000,15:28,UTC,NULL,NULL,050508N,0001750E,50.835556,-0.297222
20110607X12130,CEN11WA380,ACC,2011-06-06,2011-06-06 12:05:00.000,12:05,UTC,NULL,NULL,433329N,0000623W,43.558055,-6.034166
20110509X84024,ERA11FA291,ACC,2011-05-09,2011-05-09 18:48:00.000,18:48,UTC,NY,10958,412326N,0742511W,41.390556,-74.419723
20110102X35752,ERA11FA101,ACC,2010-12-31,2010-12-31 19:26:00.000,19:26,UTC,VA,24486,381620N,0785324W,38.27222,-78.889999
20101201X74125,WPR11LA068,ACC,2010-12-01,2010-12-01 19:30:00.000,19:30,UTC,OR,97741,444013N,0121918W,44.670276,-121.154998
20100805X84210,CEN10LA459,ACC,2010-08-04,2010-08-04 23:20:00.000,23:20,UTC,TX,78829,029237N,0994019W,29.043611,-99.671943
20100730X91552,CEN10IA447,INC,2010-07-27,2010-07-27 17:15:00.000,17:15,UTC,WI,54971,435026N,0885024W,43.840557,-88.840103
20100616X34937,WPR10LA294,ACC,2010-06-15,2010-06-15 21:33:00.000,21:33,UTC,UT,84761,385848N,1113154W,38.979999,-111.531669
20100320X60644,ERA10FA180,ACC,2010-03-20,2010-03-20 15:45:00.000,15:45,UTC,FL,32696,029208N,0082255W,29.335556,-82.418052
20100204X45658,CEN10FA115,ACC,2010-02-06,2010-02-06 20:27:00.000,20:27,UTC,CO,80301,040436N,1051614W,40.076667,-105.270553
20100118X12329,CEN10LA099,ACC,2010-01-17,2010-01-17 23:45:00.000,23:45,UTC,KS,67877,374135N,1005620W,37.693054,-100.938888
20091128X53127,WPR10FA068,ACC,2009-11-28,2009-11-28 19:01:00.000,19:01,UTC,CA,95461,384535N,1223326W,38.759723,-122.55722
20091010X63931,CEN10FA011,ACC,2009-10-10,2009-10-10 19:40:00.000,19:40,UTC,LA,71303,311647N,0092334W,31.279855,-92.550994
20090909X44833,WPR09FA437,ACC,2009-09-09,2009-09-09 16:45:00.000,16:45,UTC,AZ,85228,032583N,1113028W,32.967498,-111.507774
20090808X42846,ERA09MA447,ACC,2009-08-08,2009-08-08 15:53:00.000,15:53,UTC,NJ,7030,404436N,0074118W,40.743331,-74.021667
20090804X43510,CEN09LA491,ACC,2009-07-31,2009-07-31 18:54:00.000,18:54,UTC,IA,50126,422814N,0931611W,42.470554,-93.269721
20090525X10235,ERA09LA302,ACC,2009-05-23,2009-05-23 18:15:00.000,18:15,UTC,AL,35671,343914N,0865643W,34.653888,-86.945274
20090210X51828,CEN09IA161,INC,2009-02-07,2009-02-07 20:00:00.000,20:00,UTC,NE,68354,403424N,0097348W,40.573333,-97.568885
20090202X21409,CEN09LA149,ACC,2009-01-31,2009-01-31 19:55:00.000,19:55,UTC,TX,77429,029567N,0953823W,29.935277,-95.639724
20081208X81624,ERA09FA080,ACC,2008-12-06,2008-12-06 21:30:00.000,21:30,UTC,FL,33304,026016N,0802848W,26.004444,-80.480003
